article_id,title,author,nickname,url,publish_date,publish_year,views,likes,comments,collections,description,language_tags,search_keyword
128178708,机器学习入门基础（万字总结）（建议收藏！！！）,m0_65121454,subsistent,https://blog.csdn.net/m0_65121454/article/details/128178708,2022/12/4,2022,209595,2558,37,10937,本文全面介绍了机器学习的基础知识，涵盖机器学习的定义、算法分类、典型应用领域等内容，并深入探讨了监督学习、非监督学习等多种学习方法。同时，文章还讨论了机器学习在艺术创作、金融、医疗等多个领域的应用。,"人工智能,深度学习,神经网络,数据分析",机器学习
159435002,机器学习 超清晰通俗讲解 + 核心算法全解（深度+易懂版）,nasooo,知行智研社,https://blog.csdn.net/nasooo/article/details/159435002,2026/3/24,2026,3650,49,3,69,本文系统梳理机器学习三大范式：监督学习（含分类与回归算法）、无监督学习（含聚类与降维算法）及强化学习，并涵盖深度学习基本原理；重点阐释过拟合、交叉验证、评估指标（准确率/精确率/召回率/F1）和维度灾难等关键技术概念，兼顾理论本质与工程实践，面向面试、考试与实际建模需求。,"机器学习,算法,人工智能",机器学习
136761458,【AI】用iOS的ML（机器学习）创建自己的AI App,ouyangtianhan,小涵,https://blog.csdn.net/ouyangtianhan/article/details/136761458,2024/3/16,2024,4686,30,1,0,本文介绍了如何利用苹果的Core ML框架在iOS上创建AI应用。首先讲解了机器学习的迭代过程，接着详细阐述了Core ML的使用方法，包括如何从Keras模型转换为Core ML格式。此外，还提到了软件和硬件需求，以及如何开始构建iOS应用的机器学习管道。文章最后鼓励读者尝试将模型集成到Xcode项目中。,"人工智能,ios,机器学习,chatgpt,CoreML,AIGC,AI作画",机器学习
147880355,机器学习（深度学习）,2301_78581215,2301_78581215,https://blog.csdn.net/2301_78581215/article/details/147880355,2025/5/11,2025,38827,63,3,163,本文围绕机器学习展开，介绍了其定义、分类、所需基础知识和应用场景，阐述了项目开发的五个基本步骤。还介绍了scikit - learn工具，涵盖其安装和内容。此外，对数据集的获取、划分，特征工程的概念、API及操作，如特征提取、无量纲化、特征降维等进行了详细讲解。,"机器学习,人工智能",机器学习
162301863,第 5 篇：URL 组成、编码与 URL 解析,2201_76125261,Python爬虫项目,https://blog.csdn.net/2201_76125261/article/details/162301863,2026/6/25,2026,38,0,0,0,本文系统讲解URL的9大组成部分、百分号编码规则及常见陷阱，重点剖析urllib.parse模块核心API（urlparse、parse_qs、urlencode、urlunparse、urljoin等）在爬虫开发中的应用。涵盖IDNA中文域名处理、URL归一化、相对URL转绝对URL、分页URL构造等实战场景，并指出requests底层依赖及手工构造URL的关键注意事项。,"https,ssl,网络协议,人工智能,爬虫,python,开发语言",机器学习
85841169,Python 爬虫知识点 - 淘宝商品检索结果抓包分析（续一）,weixin_33853827,weixin_33853827,https://blog.csdn.net/weixin_33853827/article/details/85841169,2016/12/16,2016,315,0,0,2,,"python,爬虫,人工智能",机器学习
93303290,学习笔记之机器学习（Machine Learning）,weixin_33924220,weixin_33924220,https://blog.csdn.net/weixin_33924220/article/details/93303290,2019/2/12,2019,599,0,0,0,本文全面介绍了机器学习的概念、发展历程、分类、算法及实践技巧。涵盖了从理论基础到具体应用的各个方面，包括有监督学习、无监督学习、半监督学习和强化学习等。同时，文章还探讨了数据预处理、特征选择、模型评估与优化等关键环节。,,机器学习
139776714,人工智能（AI）与机器学习（ML）：塑造未来的技术引擎,2303_80856850,星途码客,https://blog.csdn.net/2303_80856850/article/details/139776714,2024/6/18,2024,7559,79,68,0,本文介绍了人工智能（AI）与机器学习（ML）。AI旨在让计算机像人类一样思考决策，其发展历经多阶段。ML作为AI核心技术，能从海量数据中提取价值。二者融合成推动技术进步的重要力量，在自动驾驶、医疗、金融等多领域有应用，但也面临数据获取、模型泛化等挑战。,人工智能,机器学习
160622394,机器学习系列01 基本概念篇（含思维导图）,qq_43445867,阿坦同学,https://blog.csdn.net/qq_43445867/article/details/160622394,2026/4/29,2026,955,8,0,11,本文系统梳理机器学习六大范式：监督学习（回归/分类）、无监督学习（聚类/降维/关联规则）、神经网络与深度学习（CNN/RNN/GAN/自编码器）、集成学习（Bagging/Boosting/Stacking）、半监督学习及强化学习。涵盖各范式核心概念、典型算法原理、适用场景与关键技术挑战，强调数据驱动建模本质及完整工作流程。,"人工智能,机器学习",机器学习
122632982,Unity 机器学习(ML-Agents) 基础,weixin_43925843,Maddie_Mo,https://blog.csdn.net/weixin_43925843/article/details/122632982,2022/1/22,2022,13439,33,14,0,本文详细介绍如何使用Unity ML-Agents工具包进行机器学习训练，包括环境搭建、配置文件编写、模型训练与评估等核心步骤。,"unity,机器学习,游戏引擎,python,人工智能",机器学习
127682128,在 Azure ML 上用 .NET 跑机器学习,u014388424,kinfey,https://blog.csdn.net/u014388424/article/details/127682128,2022/11/4,2022,3648,0,2,0,.NET开发者可以利用Azure ML进行机器学习的全流程，包括数据管理、训练、测试和部署。本文介绍了如何在Azure ML上配置环境，使用Tensorflow.NET进行图像分类的训练，以及如何将.NET项目与云端环境结合。,"azure,microsoft",机器学习
81707571,Spark 2.0 机器学习 ML 库：常见的机器学习模型（Scala 版）,larger5,IT小村,https://blog.csdn.net/larger5/article/details/81707571,2018/8/15,2018,15604,14,7,0,本文介绍如何使用 Spark ML 库进行机器学习实战，包括线性回归、逻辑回归、决策树、随机森林、GBDT 和 KMeans 的实现过程及评估指标。,,机器学习
